student_id,department,cgpa,backlogs,internships,projects_completed,certifications,communication_score,aptitude_score,technical_score,attendance_percent,skills,placed,company,role_offered,package_lpa
S1001,Electrical,7.75,0,1,1,0,6.6,88.7,73.8,78.2,Python;Excel;Machine Learning,1,Accenture,Business Analyst,8.18
S1002,Information Technology,6.79,0,1,1,1,5.5,51.4,34.6,93.7,Java;C++;Excel;Networking;Problem Solving;React;DBMS;Python,1,TCS,Data Analyst,6.32
S1003,Information Technology,9.6,0,1,1,0,7.4,56.0,77.1,84.3,Networking;React;Python;Problem Solving,1,Accenture,Cloud Engineer,9.2
S1004,Information Technology,7.29,0,3,1,1,5.3,100.0,81.5,83.7,React;Machine Learning;Power BI;Python;SQL;DBMS,1,Amazon,QA Engineer,9.57
S1005,Information Technology,7.2,0,0,3,1,6.4,48.0,62.4,86.7,Power BI;Communication;Java;Problem Solving,1,Microsoft,Data Analyst,7.91
S1006,Electronics,6.54,1,1,1,0,6.4,48.4,38.5,88.5,React;Machine Learning;Power BI;Python;OS,1,Deloitte,Data Analyst,6.87
S1007,Mechanical,6.37,0,2,2,2,6.7,59.0,58.9,70.6,Networking;Machine Learning;C++,1,Capgemini,Data Scientist,8.34
S1008,Civil,7.1,0,2,1,0,7.3,52.9,51.0,89.3,Excel;Java;Python;C++,0,,,
S1009,Information Technology,7.6,0,2,2,2,6.4,59.5,82.9,79.7,Java;AWS;DSA;Problem Solving;DBMS,1,Cognizant,Support Engineer,9.3
S1010,Electrical,7.09,0,0,1,2,9.4,67.6,64.6,81.4,SQL;Communication;AWS;DSA;C++,0,,,
S1011,Electronics,7.28,0,0,0,2,4.5,72.2,55.3,77.4,Problem Solving;C++;AWS;Java;React;SQL;Networking;DSA,1,Wipro,Support Engineer,6.41
S1012,Mechanical,8.33,0,2,2,2,7.9,50.1,49.8,82.8,Problem Solving;C++;Excel;Networking;DSA,1,IBM,Data Scientist,8.99
S1013,Computer Science,7.31,0,1,1,1,6.3,53.3,54.2,88.5,AWS;Python;Power BI;Communication,0,,,
S1014,Mechanical,6.19,0,1,1,0,4.8,82.9,83.4,75.1,Java;DSA;React;Excel;Communication,0,,,
S1015,Information Technology,7.53,0,0,1,2,7.3,69.4,47.1,96.9,OS;DBMS;C++;Problem Solving;SQL;Machine Learning;Power BI;DSA,1,TechMahindra,QA Engineer,7.3
S1016,Electrical,7.96,0,0,3,3,5.5,61.3,46.4,74.9,DBMS;React;Problem Solving;Communication;DSA;SQL;Networking,0,,,
S1017,Mechanical,6.57,0,2,2,2,4.8,64.5,42.7,89.8,Power BI;Python;Java,1,Wipro,System Engineer,6.92
S1018,Electrical,7.73,2,3,4,1,6.6,76.1,51.9,88.2,React;Java;DBMS;Power BI;Problem Solving;OS,1,Deloitte,QA Engineer,9.48
S1019,Civil,8.07,0,1,4,2,6.9,47.9,66.4,86.5,C++;Excel;Java,1,IBM,QA Engineer,8.82
S1020,Electrical,8.54,0,2,3,3,7.6,82.0,77.2,87.2,Java;Machine Learning;DBMS;SQL;OS,1,TCS,QA Engineer,9.89
S1021,Civil,5.95,0,1,0,1,7.8,40.8,51.5,90.7,Networking;Java;C++;Machine Learning,0,,,
S1022,Electrical,8.7,0,1,0,0,7.0,100.0,93.2,92.9,React;DSA;SQL;Communication;Power BI;Networking;Problem Solving,1,TCS,Data Scientist,9.29
S1023,Mechanical,5.48,0,0,2,0,7.1,72.6,75.6,72.4,Java;Communication;Power BI,1,Cognizant,Business Analyst,5.34
S1024,Computer Science,7.59,0,1,1,3,4.5,42.2,51.3,92.1,Problem Solving;React;Java;Power BI,1,TechMahindra,Support Engineer,7.58
S1025,Computer Science,7.09,0,1,2,0,9.4,35.1,36.6,94.3,Power BI;SQL;AWS;C++;OS;Networking;Problem Solving,1,Cognizant,Cloud Engineer,7.61
